frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
89,13,[79 245 667 639],[283.9825744628906 468.5697937011719 444.899658203125 526.2003784179688],0.7268074154853821,None,None
90,13,[81 244 666 638],[279.0430908203125 466.46826171875 441.56231689453125 522.7727661132812],0.7045279145240784,None,None
91,13,[81 240 667 637],[277.6891174316406 465.674560546875 436.4073791503906 521.3507690429688],0.7227623462677002,None,None
92,13,[82 239 668 637],[273.0876770019531 462.8447570800781 438.29302978515625 518.6040649414062],0.7306818962097168,None,None
93,13,[83 239 668 637],[276.17474365234375 461.54949951171875 434.1781005859375 513.82373046875],0.7035823464393616,None,None
94,13,[84 239 668 637],[273.0076904296875 460.4019470214844 431.22564697265625 512.2147827148438],0.712425172328949,None,None
95,13,[84 239 668 636],[273.95391845703125 460.1943054199219 428.1691589355469 511.90631103515625],0.7105385065078735,None,None
96,13,[82 238 667 636],[268.7110595703125 458.776123046875 422.0899353027344 511.8405456542969],0.7229821085929871,None,None
97,13,[81 238 666 637],[266.0489501953125 459.0256652832031 420.326416015625 511.465087890625],0.7186645269393921,None,None
98,13,[78 239 663 636],[259.7111511230469 459.0345458984375 415.006591796875 511.6572265625],0.7161536812782288,None,None
99,13,[72 238 657 634],[250.81143188476562 456.25506591796875 410.3876037597656 511.8541259765625],0.7037389874458313,None,None
100,13,[73 236 657 632],[250.94540405273438 452.57159423828125 407.54437255859375 507.4864807128906],0.7389017343521118,None,None
101,13,[74 233 655 627],[247.559814453125 448.1072998046875 406.654052734375 502.82659912109375],0.7252335548400879,None,None
102,13,[78 230 653 618],[248.19305419921875 441.0762939453125 406.0980529785156 496.3271484375],0.7047824263572693,None,None
103,13,[84 226 651 608],[252.8957977294922 434.1119689941406 408.0850830078125 488.4158935546875],0.7118344902992249,None,None
103,14,[856 171 1025 264],[913.4246215820312 216.24752807617188 960.0759887695312 238.8004913330078],0.369904488325119,None,None
104,13,[92 224 649 598],[256.34649658203125 427.83319091796875 407.76519775390625 481.76812744140625],0.7083207964897156,None,None
104,14,[853 169 1021 262],[910.61181640625 216.24575805664062 957.0902709960938 237.7502899169922],0.4196939766407013,None,None
105,13,[99 221 647 588],[260.2771301269531 419.9658203125 408.8656005859375 473.6830749511719],0.7382328510284424,None,None
105,14,[847 168 1014 261],[901.0524291992188 216.2648162841797 948.7402954101562 237.25303649902344],0.3800220787525177,None,None
106,13,[107 218 644 577],[264.5611267089844 413.9105529785156 409.5390319824219 466.561279296875],0.7305173873901367,None,None
106,14,[839 168 1003 259],[889.8052368164062 214.94232177734375 939.3812255859375 237.85794067382812],0.4284111261367798,None,None
107,13,[115 213 641 564],[269.8918151855469 404.3097839355469 411.8119201660156 456.0802917480469],0.7349916100502014,None,None
108,13,[125 208 640 551],[274.7520751953125 394.60888671875 414.322509765625 446.939208984375],0.717700719833374,None,None
109,13,[135 202 641 538],[284.591064453125 384.6207580566406 419.3207092285156 437.34063720703125],0.7171077728271484,None,None
109,14,[816 162 977 250],[869.9014282226562 202.30380249023438 917.4918823242188 226.85435485839844],0.3374217748641968,None,None
110,13,[146 197 640 525],[293.3636169433594 376.443603515625 421.69024658203125 424.3055725097656],0.7342963814735413,None,None
111,13,[156 192 641 514],[298.7687072753906 365.1113586425781 427.2734375 415.5741882324219],0.7446023225784302,None,None
112,13,[165 183 640 497],[305.98114013671875 350.0322265625 431.7044372558594 403.41845703125],0.7228661775588989,None,None
112,14,[797 150 952 235],[850.7236938476562 187.2946014404297 897.4069213867188 213.18338012695312],0.3288249373435974,None,None
114,38,[0 184 961 717],[380.76458740234375 619.7027587890625 658.9254760742188 717.44482421875],0.7459043860435486,None,None
114,37,[579 36 698 115],[619.4813842773438 65.67243194580078 659.17919921875 90.37355041503906],0.3814944326877594,None,None
115,38,[0 181 934 713],[355.1610107421875 603.9024658203125 626.3526000976562 687.9917602539062],0.7453834414482117,None,None
116,38,[0 186 911 714],[339.9090881347656 593.1358032226562 599.059814453125 673.1841430664062],0.7616584897041321,None,None
117,38,[0 189 886 710],[322.6779479980469 581.0820922851562 570.8735961914062 658.568603515625],0.7353127598762512,None,None
118,38,[0 198 862 708],[303.203125 572.4940795898438 547.9485473632812 645.7282104492188],0.7258079051971436,None,None
119,38,[0 205 838 706],[293.22552490234375 560.1913452148438 527.129150390625 635.665771484375],0.7633613348007202,None,None
120,38,[0 209 819 703],[280.0048828125 549.8035888671875 514.1354370117188 624.8075561523438],0.7637619376182556,None,None
120,37,[644 70 752 142],[677.5531005859375 101.39189910888672 713.326416015625 123.53620910644531],0.28367647528648376,None,None
121,38,[0 214 798 696],[282.7367248535156 546.5369262695312 504.3814697265625 613.8261108398438],0.7282019257545471,None,None
122,38,[0 219 778 689],[281.9001770019531 543.5472412109375 498.0292053222656 611.82470703125],0.7403556704521179,None,None
123,38,[0 226 762 687],[282.3896484375 543.954345703125 488.50677490234375 611.6564331054688],0.7449800372123718,None,None
124,38,[0 237 748 687],[284.04302978515625 543.9785766601562 488.5781555175781 611.506103515625],0.7357033491134644,None,None
125,38,[0 249 734 687],[285.5648498535156 548.64013671875 482.2720031738281 610.8471069335938],0.7039608955383301,None,None
125,37,[706 124 806 191],[739.8047485351562 151.1715087890625 770.9185791015625 176.9628143310547],0.3297562003135681,None,None
126,38,[5 264 736 691],[284.6387634277344 553.0301513671875 482.84442138671875 615.6047973632812],0.7259852290153503,None,None
127,38,[12 278 730 699],[282.369140625 562.517333984375 480.2309875488281 622.7271728515625],0.7156656980514526,None,None
127,37,[730 152 831 220],[764.6006469726562 177.3014678955078 797.46240234375 201.71372985839844],0.29399800300598145,None,None
128,38,[16 293 719 706],[288.1806335449219 575.2691040039062 478.1145935058594 632.67138671875],0.694292426109314,None,None
129,38,[35 307 717 708],[284.6756286621094 582.1522827148438 476.3253173828125 647.034423828125],0.7407488822937012,None,None
129,37,[754 181 857 250],[787.0181274414062 205.7345428466797 818.7742919921875 229.53268432617188],0.2921178340911865,None,None
